,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12827,11329,13061,11364,12113,8544,7048,6593,5860,7819,9116
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56521,53674,57609,51279,55003,56365,61823,59368,57474,91908,88798
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204364,213858,233977,210500,219118,215666,230129,253960,264511,641128,650782
